frame_id,component_id,node_cov_wmean,node_cov_wmedian,node_cov_wtrimmed,node_cov_ivw_meta,node_cov_wstd,node_cov_p10,node_cov_p50,node_cov_p90,n_proteins,mean_dup_rate,mean_graph_size,sum_graph_size
0,0,0.8302752293577982,0.8333333333333334,0.8277634961439588,0.8240724287450715,0.010546793423184944,0.8163265306122449,0.8333333333333334,0.8396005210594877,9,0.26868686868686864,48.44444444444444,436
0,1,0.41743119266055045,0.4166666666666667,0.4160206718346253,0.4190748263332447,0.006429786481535606,0.40816326530612246,0.4166666666666667,0.42613981762917935,9,0.12077294685990342,48.44444444444444,436
1,1,0.41284403669724773,0.4166666666666667,0.41131105398457585,0.41457243784920156,0.007077705024500411,0.40653061224489795,0.4166666666666667,0.41843971631205673,9,0.0,48.44444444444444,436
0,2,0.41284403669724773,0.4166666666666667,0.41131105398457585,0.41457243784920156,0.007077705024500411,0.40653061224489795,0.4166666666666667,0.41843971631205673,9,0.0,48.44444444444444,436
1,2,0.41284403669724773,0.4166666666666667,0.41131105398457585,0.41457243784920156,0.007077705024500411,0.40653061224489795,0.4166666666666667,0.41843971631205673,9,0.0,48.44444444444444,436
2,1,0.08256880733944955,0.08333333333333333,0.08226221079691516,0.09098808095437312,0.0014155410049000823,0.08130612244897958,0.08333333333333333,0.08368794326241134,9,0.0,48.44444444444444,436
0,3,0.08256880733944955,0.08333333333333333,0.08226221079691516,0.09098808095437312,0.0014155410049000823,0.08130612244897958,0.08333333333333333,0.08368794326241134,9,0.0,48.44444444444444,436
1,3,0.08256880733944955,0.08333333333333333,0.08226221079691516,0.09098808095437312,0.0014155410049000823,0.08130612244897958,0.08333333333333333,0.08368794326241134,9,0.0,48.44444444444444,436
0,4,0.08256880733944955,0.08333333333333333,0.08226221079691516,0.09098808095437312,0.0014155410049000823,0.08130612244897958,0.08333333333333333,0.08368794326241134,9,0.0,48.44444444444444,436
1,4,0.08256880733944955,0.08333333333333333,0.08226221079691516,0.09098808095437312,0.0014155410049000823,0.08130612244897958,0.08333333333333333,0.08368794326241134,9,0.0,48.44444444444444,436
0,5,0.08256880733944955,0.08333333333333333,0.08226221079691516,0.09098808095437312,0.0014155410049000823,0.08130612244897958,0.08333333333333333,0.08368794326241134,9,0.0,48.44444444444444,436
1,5,0.08256880733944955,0.08333333333333333,0.08226221079691516,0.09098808095437312,0.0014155410049000823,0.08130612244897958,0.08333333333333333,0.08368794326241134,9,0.0,48.44444444444444,436
